"","der_activity_month","var_1","name","prop","sector","value"
"1","2018-02-01","Asian or Asian British","Inpatient admissions","20.4934886908842","NHS","1160"
"2","2018-02-01","Asian or Asian British","Inpatient admissions","20.4934886908842","Independent Sector","299"
"3","2018-02-01","Asian or Asian British","Outpatient appointments","5.76347305389222","NHS","1259"
"4","2018-02-01","Asian or Asian British","Outpatient appointments","5.76347305389222","Independent Sector","77"
"5","2018-02-01","Black or Black British","Inpatient admissions","13.6986301369863","NHS","630"
"6","2018-02-01","Black or Black British","Inpatient admissions","13.6986301369863","Independent Sector","100"
"7","2018-02-01","Black or Black British","Outpatient appointments","4.62776659959759","NHS","474"
"8","2018-02-01","Black or Black British","Outpatient appointments","4.62776659959759","Independent Sector","23"
"9","2018-02-01","Mixed","Inpatient admissions","13.7254901960784","NHS","264"
"10","2018-02-01","Mixed","Inpatient admissions","13.7254901960784","Independent Sector","42"
"11","2018-02-01","Mixed","Outpatient appointments","2.96296296296296","NHS","262"
"12","2018-02-01","Mixed","Outpatient appointments","2.96296296296296","Independent Sector","8"
"13","2018-02-01","Other Ethnic Groups","Inpatient admissions","8.85311871227364","NHS","453"
"14","2018-02-01","Other Ethnic Groups","Inpatient admissions","8.85311871227364","Independent Sector","44"
"15","2018-02-01","Other Ethnic Groups","Outpatient appointments","3.11850311850312","NHS","466"
"16","2018-02-01","Other Ethnic Groups","Outpatient appointments","3.11850311850312","Independent Sector","15"
"17","2018-02-01","White","Inpatient admissions","24.3857794735621","NHS","29330"
"18","2018-02-01","White","Inpatient admissions","24.3857794735621","Independent Sector","9459"
"19","2018-02-01","White","Outpatient appointments","8.60334542051702","NHS","15627"
"20","2018-02-01","White","Outpatient appointments","8.60334542051702","Independent Sector","1471"
"21","2018-03-01","Asian or Asian British","Inpatient admissions","20.7162921348315","NHS","1129"
"22","2018-03-01","Asian or Asian British","Inpatient admissions","20.7162921348315","Independent Sector","295"
"23","2018-03-01","Asian or Asian British","Outpatient appointments","6.99844479004666","NHS","1196"
"24","2018-03-01","Asian or Asian British","Outpatient appointments","6.99844479004666","Independent Sector","90"
