"","der_activity_month","type","speciality","name","value"
"1","2018-02-01","Independent Sector","Ophthalmology","Inpatient admissions","8789"
"2","2018-02-01","Independent Sector","Ophthalmology","Outpatient appointments","3042"
"3","2018-02-01","Independent Sector","Ophthalmology","Cost (£)","6882693.63"
"4","2018-02-01","NHS","Ophthalmology","Inpatient admissions","44900"
"5","2018-02-01","NHS","Ophthalmology","Outpatient appointments","202935"
"6","2018-02-01","NHS","Ophthalmology","Cost (£)","50185647.855655"
"7","2018-03-01","Independent Sector","Ophthalmology","Inpatient admissions","8691"
"8","2018-03-01","Independent Sector","Ophthalmology","Outpatient appointments","3594"
"9","2018-03-01","Independent Sector","Ophthalmology","Cost (£)","6850173.17"
"10","2018-03-01","NHS","Ophthalmology","Inpatient admissions","45725"
"11","2018-03-01","NHS","Ophthalmology","Outpatient appointments","207528"
"12","2018-03-01","NHS","Ophthalmology","Cost (£)","51093021.555008"
"13","2018-04-01","Independent Sector","Ophthalmology","Inpatient admissions","8474"
"14","2018-04-01","Independent Sector","Ophthalmology","Outpatient appointments","4180"
"15","2018-04-01","Independent Sector","Ophthalmology","Cost (£)","7127018.53"
"16","2018-04-01","NHS","Ophthalmology","Inpatient admissions","45324"
"17","2018-04-01","NHS","Ophthalmology","Outpatient appointments","209509"
"18","2018-04-01","NHS","Ophthalmology","Cost (£)","52726875.934185"
"19","2018-05-01","Independent Sector","Ophthalmology","Inpatient admissions","9203"
"20","2018-05-01","Independent Sector","Ophthalmology","Outpatient appointments","4434"
"21","2018-05-01","Independent Sector","Ophthalmology","Cost (£)","7873524.53"
"22","2018-05-01","NHS","Ophthalmology","Inpatient admissions","48523"
"23","2018-05-01","NHS","Ophthalmology","Outpatient appointments","225989"
"24","2018-05-01","NHS","Ophthalmology","Cost (£)","54830525.251217"
"25","2018-06-01","Independent Sector","Ophthalmology","Inpatient admissions","9473"
"26","2018-06-01","Independent Sector","Ophthalmology","Outpatient appointments","4735"
"27","2018-06-01","Independent Sector","Ophthalmology","Cost (£)","8079495"
"28","2018-06-01","NHS","Ophthalmology","Inpatient admissions","48655"
"29","2018-06-01","NHS","Ophthalmology","Outpatient appointments","226185"
"30","2018-06-01","NHS","Ophthalmology","Cost (£)","55380507.90179"
"31","2018-07-01","Independent Sector","Ophthalmology","Inpatient admissions","9077"
"32","2018-07-01","Independent Sector","Ophthalmology","Outpatient appointments","4697"
"33","2018-07-01","Independent Sector","Ophthalmology","Cost (£)","7725062.87"
"34","2018-07-01","NHS","Ophthalmology","Inpatient admissions","48860"
"35","2018-07-01","NHS","Ophthalmology","Outpatient appointments","227817"
"36","2018-07-01","NHS","Ophthalmology","Cost (£)","55259421.986849"
"37","2018-08-01","Independent Sector","Ophthalmology","Inpatient admissions","9537"
"38","2018-08-01","Independent Sector","Ophthalmology","Outpatient appointments","4666"
"39","2018-08-01","Independent Sector","Ophthalmology","Cost (£)","8179256"
"40","2018-08-01","NHS","Ophthalmology","Inpatient admissions","45718"
"41","2018-08-01","NHS","Ophthalmology","Outpatient appointments","223306"
"42","2018-08-01","NHS","Ophthalmology","Cost (£)","53173534.710702"
"43","2018-09-01","Independent Sector","Ophthalmology","Inpatient admissions","9564"
"44","2018-09-01","Independent Sector","Ophthalmology","Outpatient appointments","4808"
"45","2018-09-01","Independent Sector","Ophthalmology","Cost (£)","8213649.41"
"46","2018-09-01","NHS","Ophthalmology","Inpatient admissions","44614"
