"","der_activity_month","var_1","name","prop","sector","value"
"1","2018-02-01","Asian or Asian British","Inpatient admissions","7.76053215077605","NHS","2080"
"2","2018-02-01","Asian or Asian British","Inpatient admissions","7.76053215077605","Independent Sector","175"
"3","2018-02-01","Asian or Asian British","Outpatient appointments","0.0683702247671139","NHS","11693"
"4","2018-02-01","Asian or Asian British","Outpatient appointments","0.0683702247671139","Independent Sector","8"
"5","2018-02-01","Black or Black British","Inpatient admissions","4.93707647628267","NHS","982"
"6","2018-02-01","Black or Black British","Inpatient admissions","4.93707647628267","Independent Sector","51"
"7","2018-02-01","Black or Black British","Outpatient appointments","0.0159159637116027","NHS","6282"
"8","2018-02-01","Black or Black British","Outpatient appointments","0.0159159637116027","Independent Sector","1"
"9","2018-02-01","Mixed","Inpatient admissions","7.46887966804979","NHS","223"
"10","2018-02-01","Mixed","Inpatient admissions","7.46887966804979","Independent Sector","18"
"11","2018-02-01","Mixed","Outpatient appointments","0.0861326442721792","NHS","1160"
"12","2018-02-01","Mixed","Outpatient appointments","0.0861326442721792","Independent Sector","1"
"13","2018-02-01","Other Ethnic Groups","Inpatient admissions","3.55220667384284","NHS","896"
"14","2018-02-01","Other Ethnic Groups","Inpatient admissions","3.55220667384284","Independent Sector","33"
"15","2018-02-01","Other Ethnic Groups","Outpatient appointments","0.0591599290080852","NHS","5068"
"16","2018-02-01","Other Ethnic Groups","Outpatient appointments","0.0591599290080852","Independent Sector","3"
"17","2018-02-01","White","Inpatient admissions","14.6647561638421","NHS","34542"
"18","2018-02-01","White","Inpatient admissions","14.6647561638421","Independent Sector","5936"
"19","2018-02-01","White","Outpatient appointments","0.361816631851577","NHS","153113"
"20","2018-02-01","White","Outpatient appointments","0.361816631851577","Independent Sector","556"
"21","2018-03-01","Asian or Asian British","Inpatient admissions","8.0875781948168","NHS","2057"
"22","2018-03-01","Asian or Asian British","Inpatient admissions","8.0875781948168","Independent Sector","181"
"23","2018-03-01","Asian or Asian British","Outpatient appointments","0.150539432968136","NHS","11939"
"24","2018-03-01","Asian or Asian British","Outpatient appointments","0.150539432968136","Independent Sector","18"
"25","2018-03-01","Black or Black British","Inpatient admissions","4.5631067961165","NHS","983"
"26","2018-03-01","Black or Black British","Inpatient admissions","4.5631067961165","Independent Sector","47"
"27","2018-03-01","Black or Black British","Outpatient appointments","0.0476947535771065","NHS","6287"
"28","2018-03-01","Black or Black British","Outpatient appointments","0.0476947535771065","Independent Sector","3"
"29","2018-03-01","Mixed","Inpatient admissions","5.74162679425837","NHS","197"
"30","2018-03-01","Mixed","Inpatient admissions","5.74162679425837","Independent Sector","12"
"31","2018-03-01","Mixed","Outpatient appointments","0","NHS","1168"
"32","2018-03-01","Mixed","Outpatient appointments","0","Independent Sector","0"
"33","2018-03-01","Other Ethnic Groups","Inpatient admissions","3.1055900621118","NHS","936"
"34","2018-03-01","Other Ethnic Groups","Inpatient admissions","3.1055900621118","Independent Sector","30"
"35","2018-03-01","Other Ethnic Groups","Outpatient appointments","0.0960799385088393","NHS","5199"
"36","2018-03-01","Other Ethnic Groups","Outpatient appointments","0.0960799385088393","Independent Sector","5"
"37","2018-03-01","White","Inpatient admissions","14.985070314005","NHS","35305"
"38","2018-03-01","White","Inpatient admissions","14.985070314005","Independent Sector","6223"
"39","2018-03-01","White","Outpatient appointments","0.465399393839482","NHS","156980"
"40","2018-03-01","White","Outpatient appointments","0.465399393839482","Independent Sector","734"
"41","2018-04-01","Asian or Asian British","Inpatient admissions","6.32492765605622","NHS","2266"
"42","2018-04-01","Asian or Asian British","Inpatient admissions","6.32492765605622","Independent Sector","153"
"43","2018-04-01","Asian or Asian British","Outpatient appointments","0.285947712418301","NHS","12205"
"44","2018-04-01","Asian or Asian British","Outpatient appointments","0.285947712418301","Independent Sector","35"
"45","2018-04-01","Black or Black British","Inpatient admissions","2.83975659229209","NHS","958"
"46","2018-04-01","Black or Black British","Inpatient admissions","2.83975659229209","Independent Sector","28"
"47","2018-04-01","Black or Black British","Outpatient appointments","0.0769230769230769","NHS","6495"
"48","2018-04-01","Black or Black British","Outpatient appointments","0.0769230769230769","Independent Sector","5"
"49","2018-04-01","Mixed","Inpatient admissions","3.7344398340249","NHS","232"
"50","2018-04-01","Mixed","Inpatient admissions","3.7344398340249","Independent Sector","9"
"51","2018-04-01","Mixed","Outpatient appointments","0.169923534409516","NHS","1175"
"52","2018-04-01","Mixed","Outpatient appointments","0.169923534409516","Independent Sector","2"
"53","2018-04-01","Other Ethnic Groups","Inpatient admissions","1.57728706624606","NHS","936"
"54","2018-04-01","Other Ethnic Groups","Inpatient admissions","1.57728706624606","Independent Sector","15"
"55","2018-04-01","Other Ethnic Groups","Outpatient appointments","0.224508886810103","NHS","5333"
"56","2018-04-01","Other Ethnic Groups","Outpatient appointments","0.224508886810103","Independent Sector","12"
"57","2018-04-01","White","Inpatient admissions","13.0703731530178","NHS","34711"
"58","2018-04-01","White","Inpatient admissions","13.0703731530178","Independent Sector","5219"
"59","2018-04-01","White","Outpatient appointments","0.761915459208507","NHS","159033"
"60","2018-04-01","White","Outpatient appointments","0.761915459208507","Independent Sector","1221"
"61","2018-05-01","Asian or Asian British","Inpatient admissions","6.42241379310345","NHS","2171"
"62","2018-05-01","Asian or Asian British","Inpatient admissions","6.42241379310345","Independent Sector","149"
"63","2018-05-01","Asian or Asian British","Outpatient appointments","0.205573321151211","NHS","13107"
"64","2018-05-01","Asian or Asian British","Outpatient appointments","0.205573321151211","Independent Sector","27"
"65","2018-05-01","Black or Black British","Inpatient admissions","3.80434782608696","NHS","1062"
"66","2018-05-01","Black or Black British","Inpatient admissions","3.80434782608696","Independent Sector","42"
"67","2018-05-01","Black or Black British","Outpatient appointments","0.013869625520111","NHS","7209"
"68","2018-05-01","Black or Black British","Outpatient appointments","0.013869625520111","Independent Sector","1"
"69","2018-05-01","Mixed","Inpatient admissions","2.1551724137931","NHS","227"
"70","2018-05-01","Mixed","Inpatient admissions","2.1551724137931","Independent Sector","5"
"71","2018-05-01","Mixed","Outpatient appointments","0.158730158730159","NHS","1258"
"72","2018-05-01","Mixed","Outpatient appointments","0.158730158730159","Independent Sector","2"
"73","2018-05-01","Other Ethnic Groups","Inpatient admissions","2.42424242424242","NHS","966"
"74","2018-05-01","Other Ethnic Groups","Inpatient admissions","2.42424242424242","Independent Sector","24"
"75","2018-05-01","Other Ethnic Groups","Outpatient appointments","0.107739270964266","NHS","5563"
"76","2018-05-01","Other Ethnic Groups","Outpatient appointments","0.107739270964266","Independent Sector","6"
"77","2018-05-01","White","Inpatient admissions","12.5810665795736","NHS","37473"
"78","2018-05-01","White","Inpatient admissions","12.5810665795736","Independent Sector","5393"
"79","2018-05-01","White","Outpatient appointments","0.691265601279392","NHS","171389"
"80","2018-05-01","White","Outpatient appointments","0.691265601279392","Independent Sector","1193"
"81","2018-06-01","Asian or Asian British","Inpatient admissions","6.33575464083939","NHS","2321"
"82","2018-06-01","Asian or Asian British","Inpatient admissions","6.33575464083939","Independent Sector","157"
"83","2018-06-01","Asian or Asian British","Outpatient appointments","0.278488634653018","NHS","13249"
"84","2018-06-01","Asian or Asian British","Outpatient appointments","0.278488634653018","Independent Sector","37"
"85","2018-06-01","Black or Black British","Inpatient admissions","3.16622691292876","NHS","1101"
"86","2018-06-01","Black or Black British","Inpatient admissions","3.16622691292876","Independent Sector","36"
"87","2018-06-01","Black or Black British","Outpatient appointments","0.0549224220788137","NHS","7279"
"88","2018-06-01","Black or Black British","Outpatient appointments","0.0549224220788137","Independent Sector","4"
"89","2018-06-01","Mixed","Inpatient admissions","4.36507936507936","NHS","241"
"90","2018-06-01","Mixed","Inpatient admissions","4.36507936507936","Independent Sector","11"
"91","2018-06-01","Mixed","Outpatient appointments","0.0801924619085806","NHS","1246"
"92","2018-06-01","Mixed","Outpatient appointments","0.0801924619085806","Independent Sector","1"
"93","2018-06-01","Other Ethnic Groups","Inpatient admissions","3.59848484848485","NHS","1018"
"94","2018-06-01","Other Ethnic Groups","Inpatient admissions","3.59848484848485","Independent Sector","38"
"95","2018-06-01","Other Ethnic Groups","Outpatient appointments","0.181488203266788","NHS","5500"
"96","2018-06-01","Other Ethnic Groups","Outpatient appointments","0.181488203266788","Independent Sector","10"
"97","2018-06-01","White","Inpatient admissions","12.6396680967423","NHS","37060"
"98","2018-06-01","White","Inpatient admissions","12.6396680967423","Independent Sector","5362"
"99","2018-06-01","White","Outpatient appointments","0.660705991639573","NHS","171102"
"100","2018-06-01","White","Outpatient appointments","0.660705991639573","Independent Sector","1138"
"101","2018-07-01","Asian or Asian British","Inpatient admissions","7.64595103578154","NHS","2452"
"102","2018-07-01","Asian or Asian British","Inpatient admissions","7.64595103578154","Independent Sector","203"
"103","2018-07-01","Asian or Asian British","Outpatient appointments","0.334696913350688","NHS","13400"
"104","2018-07-01","Asian or Asian British","Outpatient appointments","0.334696913350688","Independent Sector","45"
"105","2018-07-01","Black or Black British","Inpatient admissions","3.54364736387208","NHS","1116"
"106","2018-07-01","Black or Black British","Inpatient admissions","3.54364736387208","Independent Sector","41"
"107","2018-07-01","Black or Black British","Outpatient appointments","0.0683807439824945","NHS","7307"
"108","2018-07-01","Black or Black British","Outpatient appointments","0.0683807439824945","Independent Sector","5"
"109","2018-07-01","Mixed","Inpatient admissions","4.86725663716814","NHS","215"
"110","2018-07-01","Mixed","Inpatient admissions","4.86725663716814","Independent Sector","11"
"111","2018-07-01","Mixed","Outpatient appointments","0.323624595469256","NHS","1232"
"112","2018-07-01","Mixed","Outpatient appointments","0.323624595469256","Independent Sector","4"
"113","2018-07-01","Other Ethnic Groups","Inpatient admissions","3.62745098039216","NHS","983"
"114","2018-07-01","Other Ethnic Groups","Inpatient admissions","3.62745098039216","Independent Sector","37"
"115","2018-07-01","Other Ethnic Groups","Outpatient appointments","0.1640838650866","NHS","5476"
"116","2018-07-01","Other Ethnic Groups","Outpatient appointments","0.1640838650866","Independent Sector","9"
"117","2018-07-01","White","Inpatient admissions","12.074813907472","NHS","37326"
"118","2018-07-01","White","Inpatient admissions","12.074813907472","Independent Sector","5126"
"119","2018-07-01","White","Outpatient appointments","0.647299556170384","NHS","172367"
"120","2018-07-01","White","Outpatient appointments","0.647299556170384","Independent Sector","1123"
"121","2018-08-01","Asian or Asian British","Inpatient admissions","8.91824938067713","NHS","2206"
"122","2018-08-01","Asian or Asian British","Inpatient admissions","8.91824938067713","Independent Sector","216"
"123","2018-08-01","Asian or Asian British","Outpatient appointments","0.296458105788735","NHS","12780"
"124","2018-08-01","Asian or Asian British","Outpatient appointments","0.296458105788735","Independent Sector","38"
"125","2018-08-01","Black or Black British","Inpatient admissions","3.77358490566038","NHS","1020"
"126","2018-08-01","Black or Black British","Inpatient admissions","3.77358490566038","Independent Sector","40"
"127","2018-08-01","Black or Black British","Outpatient appointments","0.0298775022408127","NHS","6692"
"128","2018-08-01","Black or Black British","Outpatient appointments","0.0298775022408127","Independent Sector","2"
"129","2018-08-01","Mixed","Inpatient admissions","5.38116591928251","NHS","211"
"130","2018-08-01","Mixed","Inpatient admissions","5.38116591928251","Independent Sector","12"
"131","2018-08-01","Mixed","Outpatient appointments","0.167785234899329","NHS","1190"
"132","2018-08-01","Mixed","Outpatient appointments","0.167785234899329","Independent Sector","2"
"133","2018-08-01","Other Ethnic Groups","Inpatient admissions","3.02083333333333","NHS","931"
"134","2018-08-01","Other Ethnic Groups","Inpatient admissions","3.02083333333333","Independent Sector","29"
"135","2018-08-01","Other Ethnic Groups","Outpatient appointments","0.201686835350202","NHS","5443"
"136","2018-08-01","Other Ethnic Groups","Outpatient appointments","0.201686835350202","Independent Sector","11"
