"","der_activity_month","type","speciality","procedure_desc_short","n_spells_IP","n_spells_OP","all_activity"
"1","2018-02-01","Independent Sector","Orthopaedic","Elbow","248","115","363"
"2","2018-02-01","Independent Sector","Orthopaedic","Foot","1854","364","2218"
"3","2018-02-01","Independent Sector","Orthopaedic","Hand","2288","344","2632"
"4","2018-02-01","Independent Sector","Orthopaedic","Hip","2684","217","2901"
"5","2018-02-01","Independent Sector","Orthopaedic","Knee","4830","712","5542"
"6","2018-02-01","Independent Sector","Orthopaedic","Shoulder","1625","483","2108"
"7","2018-02-01","NHS","Orthopaedic","Elbow","1181","3112","4293"
"8","2018-02-01","NHS","Orthopaedic","Foot","5591","2770","8361"
"9","2018-02-01","NHS","Orthopaedic","Hand","8137","5072","13209"
"10","2018-02-01","NHS","Orthopaedic","Hip","6218","1435","7653"
"11","2018-02-01","NHS","Orthopaedic","Knee","10316","4409","14725"
"12","2018-02-01","NHS","Orthopaedic","Shoulder","4039","3472","7511"
"13","2018-03-01","Independent Sector","Orthopaedic","Elbow","236","113","349"
"14","2018-03-01","Independent Sector","Orthopaedic","Foot","1811","368","2179"
"15","2018-03-01","Independent Sector","Orthopaedic","Hand","2366","328","2694"
"16","2018-03-01","Independent Sector","Orthopaedic","Hip","2824","197","3021"
"17","2018-03-01","Independent Sector","Orthopaedic","Knee","5128","699","5827"
"18","2018-03-01","Independent Sector","Orthopaedic","Shoulder","1779","545","2324"
"19","2018-03-01","NHS","Orthopaedic","Elbow","1246","3497","4743"
"20","2018-03-01","NHS","Orthopaedic","Foot","5789","2843","8632"
"21","2018-03-01","NHS","Orthopaedic","Hand","7951","5340","13291"
"22","2018-03-01","NHS","Orthopaedic","Hip","6719","1324","8043"
"23","2018-03-01","NHS","Orthopaedic","Knee","10741","4785","15526"
"24","2018-03-01","NHS","Orthopaedic","Shoulder","4349","3624","7973"
"25","2018-04-01","Independent Sector","Orthopaedic","Elbow","244","131","375"
"26","2018-04-01","Independent Sector","Orthopaedic","Foot","1668","359","2027"
"27","2018-04-01","Independent Sector","Orthopaedic","Hand","2160","363","2523"
"28","2018-04-01","Independent Sector","Orthopaedic","Hip","2580","210","2790"
"29","2018-04-01","Independent Sector","Orthopaedic","Knee","4488","765","5253"
"30","2018-04-01","Independent Sector","Orthopaedic","Shoulder","1601","533","2134"
"31","2018-04-01","NHS","Orthopaedic","Elbow","1174","4015","5189"
"32","2018-04-01","NHS","Orthopaedic","Foot","5673","3125","8798"
"33","2018-04-01","NHS","Orthopaedic","Hand","7922","5537","13459"
"34","2018-04-01","NHS","Orthopaedic","Hip","6763","1641","8404"
"35","2018-04-01","NHS","Orthopaedic","Knee","10778","5046","15824"
"36","2018-04-01","NHS","Orthopaedic","Shoulder","4153","4019","8172"
"37","2018-05-01","Independent Sector","Orthopaedic","Elbow","247","145","392"
"38","2018-05-01","Independent Sector","Orthopaedic","Foot","1607","428","2035"
"39","2018-05-01","Independent Sector","Orthopaedic","Hand","2265","416","2681"
"40","2018-05-01","Independent Sector","Orthopaedic","Hip","2696","241","2937"
"41","2018-05-01","Independent Sector","Orthopaedic","Knee","4574","758","5332"
"42","2018-05-01","Independent Sector","Orthopaedic","Shoulder","1667","558","2225"
"43","2018-05-01","NHS","Orthopaedic","Elbow","1282","4805","6087"
"44","2018-05-01","NHS","Orthopaedic","Foot","5914","3406","9320"
"45","2018-05-01","NHS","Orthopaedic","Hand","8286","6592","14878"
"46","2018-05-01","NHS","Orthopaedic","Hip","7665","1826","9491"
"47","2018-05-01","NHS","Orthopaedic","Knee","11960","5640","17600"
"48","2018-05-01","NHS","Orthopaedic","Shoulder","4612","4885","9497"
"49","2018-06-01","Independent Sector","Orthopaedic","Elbow","212","126","338"
"50","2018-06-01","Independent Sector","Orthopaedic","Foot","1582","354","1936"
"51","2018-06-01","Independent Sector","Orthopaedic","Hand","2239","358","2597"
"52","2018-06-01","Independent Sector","Orthopaedic","Hip","2692","243","2935"
"53","2018-06-01","Independent Sector","Orthopaedic","Knee","4461","774","5235"
"54","2018-06-01","Independent Sector","Orthopaedic","Shoulder","1510","552","2062"
"55","2018-06-01","NHS","Orthopaedic","Elbow","1265","5065","6330"
"56","2018-06-01","NHS","Orthopaedic","Foot","6117","3132","9249"
"57","2018-06-01","NHS","Orthopaedic","Hand","8042","6473","14515"
"58","2018-06-01","NHS","Orthopaedic","Hip","7563","1715","9278"
"59","2018-06-01","NHS","Orthopaedic","Knee","11635","5166","16801"
"60","2018-06-01","NHS","Orthopaedic","Shoulder","4151","5052","9203"
"61","2018-07-01","Independent Sector","Orthopaedic","Elbow","216","130","346"
"62","2018-07-01","Independent Sector","Orthopaedic","Foot","1574","369","1943"
"63","2018-07-01","Independent Sector","Orthopaedic","Hand","2222","418","2640"
"64","2018-07-01","Independent Sector","Orthopaedic","Hip","2710","261","2971"
"65","2018-07-01","Independent Sector","Orthopaedic","Knee","4399","737","5136"
"66","2018-07-01","Independent Sector","Orthopaedic","Shoulder","1503","547","2050"
"67","2018-07-01","NHS","Orthopaedic","Elbow","1275","5401","6676"
"68","2018-07-01","NHS","Orthopaedic","Foot","5786","3192","8978"
"69","2018-07-01","NHS","Orthopaedic","Hand","8236","6258","14494"
"70","2018-07-01","NHS","Orthopaedic","Hip","7762","1659","9421"
"71","2018-07-01","NHS","Orthopaedic","Knee","11671","5088","16759"
"72","2018-07-01","NHS","Orthopaedic","Shoulder","4437","5249","9686"
"73","2018-08-01","Independent Sector","Orthopaedic","Elbow","173","109","282"
"74","2018-08-01","Independent Sector","Orthopaedic","Foot","1529","407","1936"
"75","2018-08-01","Independent Sector","Orthopaedic","Hand","2196","376","2572"
"76","2018-08-01","Independent Sector","Orthopaedic","Hip","2550","282","2832"
"77","2018-08-01","Independent Sector","Orthopaedic","Knee","4260","830","5090"
"78","2018-08-01","Independent Sector","Orthopaedic","Shoulder","1353","480","1833"
"79","2018-08-01","NHS","Orthopaedic","Elbow","1230","4868","6098"
"80","2018-08-01","NHS","Orthopaedic","Foot","5747","3058","8805"
"81","2018-08-01","NHS","Orthopaedic","Hand","7751","5764","13515"
"82","2018-08-01","NHS","Orthopaedic","Hip","7107","1626","8733"
"83","2018-08-01","NHS","Orthopaedic","Knee","10805","4739","15544"
"84","2018-08-01","NHS","Orthopaedic","Shoulder","3951","4686","8637"
"85","2018-09-01","Independent Sector","Orthopaedic","Elbow","240","114","354"
"86","2018-09-01","Independent Sector","Orthopaedic","Foot","1619","391","2010"
"87","2018-09-01","Independent Sector","Orthopaedic","Hand","2319","371","2690"
"88","2018-09-01","Independent Sector","Orthopaedic","Hip","2869","253","3122"
"89","2018-09-01","Independent Sector","Orthopaedic","Knee","4600","736","5336"
"90","2018-09-01","Independent Sector","Orthopaedic","Shoulder","1492","516","2008"
"91","2018-09-01","NHS","Orthopaedic","Elbow","1232","4123","5355"
"92","2018-09-01","NHS","Orthopaedic","Foot","5634","2742","8376"
"93","2018-09-01","NHS","Orthopaedic","Hand","7688","5651","13339"
"94","2018-09-01","NHS","Orthopaedic","Hip","7061","1397","8458"
"95","2018-09-01","NHS","Orthopaedic","Knee","10688","4518","15206"
"96","2018-09-01","NHS","Orthopaedic","Shoulder","4131","4154","8285"
"97","2018-10-01","Independent Sector","Orthopaedic","Elbow","238","146","384"
"98","2018-10-01","Independent Sector","Orthopaedic","Foot","2038","432","2470"
"99","2018-10-01","Independent Sector","Orthopaedic","Hand","2479","406","2885"
"100","2018-10-01","Independent Sector","Orthopaedic","Hip","3030","283","3313"
"101","2018-10-01","Independent Sector","Orthopaedic","Knee","4876","832","5708"
"102","2018-10-01","Independent Sector","Orthopaedic","Shoulder","1537","598","2135"
"103","2018-10-01","NHS","Orthopaedic","Elbow","1370","4901","6271"
"104","2018-10-01","NHS","Orthopaedic","Foot","6611","3365","9976"
"105","2018-10-01","NHS","Orthopaedic","Hand","8757","6661","15418"
"106","2018-10-01","NHS","Orthopaedic","Hip","8046","1639","9685"
"107","2018-10-01","NHS","Orthopaedic","Knee","12554","5484","18038"
